date,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,icu_patients,icu_patients_per_million,stringency_index,reproduction_rate,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,hospital_beds_per_thousand,year,month,day,country_South Korea,code_KOR,continent_Asia
2020-01-11,0.0,0.0,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,11,True,True,True
2020-01-12,0.0,0.0,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,12,True,True,True
2020-01-13,0.0,0.0,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,13,True,True,True
2020-01-14,0.0,0.0,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,14,True,True,True
2020-01-15,0.0,0.0,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,15,True,True,True
2020-01-16,0.0,0.0,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,16,True,True,True
2020-01-17,0.0,0.0,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,17,True,True,True
2020-01-18,0.0,0.0,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,18,True,True,True
2020-01-19,1.0,0.019311553,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,19,True,True,True
2020-01-20,1.0,0.019311553,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,20,True,True,True
2020-01-21,1.0,0.019311553,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,21,True,True,True
2020-01-22,1.0,0.019311553,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,22,True,True,True
2020-01-23,1.0,0.019311553,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,23,True,True,True
2020-01-24,2.0,0.038623106,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,24,True,True,True
2020-01-25,2.0,0.038623106,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,25,True,True,True
2020-01-26,3.0,0.05793466,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,26,True,True,True
2020-01-27,4.0,0.07724621,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,27,True,True,True
2020-01-28,4.0,0.07724621,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,28,True,True,True
2020-01-29,4.0,0.07724621,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,29,True,True,True
2020-01-30,7.0,0.13518088,0.0,0.0,79.0,1.525,0.0,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,30,True,True,True
2020-01-31,11.0,0.2124271,0.0,0.0,79.0,1.525,2.78,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,1,31,True,True,True
2020-02-01,12.0,0.23173864,0.0,0.0,79.0,1.525,13.89,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,2,1,True,True,True
2020-02-02,15.0,0.2896733,0.0,0.0,79.0,1.525,13.89,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,2,2,True,True,True
2020-02-03,15.0,0.2896733,0.0,0.0,79.0,1.525,23.15,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,2,3,True,True,True
2020-02-04,16.0,0.30898485,0.0,0.0,79.0,1.525,31.48,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,2,4,True,True,True
2020-02-05,21.0,0.4055426,0.0,0.0,79.0,1.525,31.48,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,2,5,True,True,True
2020-02-06,24.0,0.46347728,0.0,0.0,79.0,1.525,31.48,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,2,6,True,True,True
2020-02-07,24.0,0.46347728,0.0,0.0,79.0,1.525,31.48,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,2,7,True,True,True
2020-02-08,24.0,0.46347728,0.0,0.0,79.0,1.525,31.48,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,2,8,True,True,True
2020-02-09,27.0,0.52141196,0.0,0.0,79.0,1.525,31.48,1.2172,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2020,2,9,True,True,True
