date,yhat
2023-06-14,4627.357421875
2023-06-15,6441.63427734375
2023-06-16,6677.6748046875
2023-06-17,8298.33203125
2023-06-18,8779.220703125
2023-06-19,3961.009765625
2023-06-20,6206.85986328125
2023-06-21,4849.67041015625
2023-06-22,4476.4384765625
2023-06-23,4087.00634765625
2023-06-24,3242.3759765625
2023-06-25,2295.318115234375
2023-06-26,1648.8697509765625
2023-06-27,1319.98828125
2023-06-28,1607.1514892578125
2023-06-29,1797.9871826171875
2023-06-30,2043.5784912109375
2023-07-01,2269.53369140625
2023-07-02,2163.930419921875
2023-07-03,2092.173828125
2023-07-04,1841.0771484375
2023-07-05,1807.2371826171875
2023-07-06,1849.0887451171875
2023-07-07,1819.3687744140625
2023-07-08,1640.3812255859375
2023-07-09,1462.927978515625
2023-07-10,1427.757568359375
2023-07-11,1419.6419677734375
2023-07-12,1354.211669921875
2023-07-13,1315.1971435546875
