date,yhat
2023-06-14,4627.357421875
2023-06-15,6441.63427734375
2023-06-16,6677.6748046875
2023-06-17,8298.33203125
2023-06-18,8779.220703125
2023-06-19,3961.009765625
2023-06-20,6206.85986328125
2023-06-21,4849.67041015625
2023-06-22,4476.4384765625
2023-06-23,4087.00634765625
2023-06-24,3242.3759765625
2023-06-25,2295.318115234375
2023-06-26,1648.8697509765625
2023-06-27,1319.98828125
2023-06-28,1607.1514892578125
2023-06-29,1797.9871826171875
2023-06-30,2043.5784912109375
2023-07-01,2269.53369140625
2023-07-02,2163.930419921875
2023-07-03,2092.173828125
2023-07-04,1841.0771484375
2023-07-05,1807.2371826171875
2023-07-06,1849.0887451171875
2023-07-07,1819.3687744140625
2023-07-08,1640.3812255859375
2023-07-09,1462.927978515625
2023-07-10,1427.757568359375
2023-07-11,1419.6419677734375
2023-07-12,1354.211669921875
2023-07-13,1315.1971435546875
2023-07-14,1336.2008056640625
2023-07-15,1407.243896484375
2023-07-16,1465.6019287109375
2023-07-17,1416.741943359375
2023-07-18,1394.4918212890625
2023-07-19,1388.2645263671875
2023-07-20,1381.04931640625
2023-07-21,1368.4932861328125
2023-07-22,1340.1552734375
2023-07-23,1307.0693359375
2023-07-24,1306.9649658203125
2023-07-25,1319.108642578125
2023-07-26,1333.38671875
2023-07-27,1349.2750244140625
2023-07-28,1356.91748046875
2023-07-29,1353.24853515625
2023-07-30,1344.802490234375
2023-07-31,1350.20947265625
2023-08-01,1366.7939453125
2023-08-02,1382.3846435546875
2023-08-03,1388.9105224609375
2023-08-04,1390.248779296875
2023-08-05,1394.3748779296875
2023-08-06,1405.70947265625
2023-08-07,1418.7625732421875
2023-08-08,1428.740966796875
2023-08-09,1434.16455078125
2023-08-10,1436.82470703125
2023-08-11,1442.0869140625
2023-08-12,1453.4832763671875
2023-08-13,1468.21240234375
2023-08-14,1476.5244140625
2023-08-15,1476.8681640625
2023-08-16,1477.264404296875
2023-08-17,1483.1455078125
2023-08-18,1493.3458251953125
2023-08-19,1503.065185546875
2023-08-20,1506.838134765625
2023-08-21,1505.211181640625
2023-08-22,1503.302978515625
2023-08-23,1505.4146728515625
2023-08-24,1511.46484375
2023-08-25,1517.111083984375
2023-08-26,1516.58984375
2023-08-27,1511.490966796875
2023-08-28,1508.78662109375
2023-08-29,1509.80712890625
2023-08-30,1512.18798828125
2023-08-31,1512.39013671875
2023-09-01,1509.0162353515625
2023-09-02,1506.0074462890625
2023-09-03,1506.6846923828125
2023-09-04,1510.3134765625
2023-09-05,1514.063720703125
2023-09-06,1515.8232421875
2023-09-07,1516.37158203125
2023-09-08,1517.7276611328125
2023-09-09,1521.060546875
2023-09-10,1527.3604736328125
2023-09-11,1535.421630859375
2023-09-12,1541.506591796875
2023-09-13,1546.140625
2023-09-14,1552.029052734375
2023-09-15,1560.668701171875
2023-09-16,1570.998779296875
2023-09-17,1581.08740234375
2023-09-18,1590.507080078125
2023-09-19,1598.8447265625
2023-09-20,1607.734619140625
2023-09-21,1618.29345703125
