date,yhat
2023-06-14,4268.328476708656
2023-06-15,3236.310989565189
2023-06-16,3146.409366432534
2023-06-17,2992.3699333370214
2023-06-18,2905.319841075119
2023-06-19,3278.9574284885366
2023-06-20,2531.646930565307
2023-06-21,2366.372393005419
2023-06-22,2337.7073967980864
2023-06-23,2205.990864779179
2023-06-24,2087.622505777532
2023-06-25,2053.7683842948477
2023-06-26,1357.928838391015
2023-06-27,969.5768056297884
2023-06-28,642.9771741668924
2023-06-29,584.4840082621505
2023-06-30,548.6853145363528
2023-07-01,440.7543391787829
2023-07-02,265.2432423744526
2023-07-03,267.73180991129755
2023-07-04,250.3288315193062
2023-07-05,236.8690445940613
2023-07-06,225.17669456653738
2023-07-07,223.150317921745
2023-07-08,232.4184970118743
2023-07-09,248.72588951289197
2023-07-10,162.23236359804955
2023-07-11,61.90341917852821
2023-07-12,53.119164493394
2023-07-13,52.798196992451
2023-07-14,52.75104027310633
2023-07-15,50.18332048299187
2023-07-16,44.054016688054936
2023-07-17,43.952873912876115
2023-07-18,38.68029087920102
2023-07-19,38.135546064798916
2023-07-20,38.57459786351787
2023-07-21,38.28890399649867
2023-07-22,23.27008739926366
2023-07-23,24.446786983657674
2023-07-24,26.001816289532904
2023-07-25,26.348771587455005
2023-07-26,26.53853754703116
2023-07-27,23.54254263843619
2023-07-28,19.804820770940122
2023-07-29,18.758635679228295
2023-07-30,18.691532362612275
2023-07-31,18.952595644647946
2023-08-01,19.314894128239185
2023-08-02,19.153562163404505
2023-08-03,19.733523595196925
2023-08-04,19.492341884452713
2023-08-05,17.657357739435128
2023-08-06,17.965509163781125
2023-08-07,18.358224458460587
2023-08-08,18.993346715870675
2023-08-09,18.878680612725226
2023-08-10,18.729705914614726
2023-08-11,20.484701614160237
2023-08-12,21.60871870759383
2023-08-13,22.65630125636709
2023-08-14,26.59094385411348
2023-08-15,27.72365253091745
2023-08-16,27.896458199106533
2023-08-17,29.30149632436676
2023-08-18,29.005339262584698
2023-08-19,28.79441032775319
2023-08-20,28.841603106100575
2023-08-21,28.637938998557797
2023-08-22,29.710193144542203
2023-08-23,29.80916036663171
2023-08-24,29.761030643118183
2023-08-25,27.9236583543907
2023-08-26,27.369019870150083
2023-08-27,27.038635017933338
2023-08-28,26.66825563261277
2023-08-29,27.905281239978944
2023-08-30,28.200248365673616
2023-08-31,28.014743481867164
2023-09-01,29.594589205631895
2023-09-02,29.47778241327779
2023-09-03,29.236224664739783
2023-09-04,28.952081390530328
2023-09-05,30.353973497785923
2023-09-06,30.73910350226847
2023-09-07,30.295601516331708
2023-09-08,29.899281496184486
2023-09-09,29.634984765749888
2023-09-10,29.430762543527667
2023-09-11,29.084101218148948
2023-09-12,30.549272737169254
2023-09-13,32.855574119842565
2023-09-14,35.8828760324389
2023-09-15,36.515551130803594
2023-09-16,35.86115671821313
2023-09-17,35.71048622457707
2023-09-18,35.1280224375471
2023-09-19,37.678336401365165
2023-09-20,37.91731297101883
2023-09-21,38.169715949635055
