date,yhat
2023-06-14,4268.328476708656
2023-06-15,3236.3109895651887
2023-06-16,3146.4093664325337
2023-06-17,2992.3699333370223
2023-06-18,2905.3198410751183
2023-06-19,3278.9574284885352
2023-06-20,2531.646930565307
2023-06-21,2366.372393005419
2023-06-22,2337.7073967980864
2023-06-23,2205.990864779179
2023-06-24,2087.6225057775314
2023-06-25,2053.7683842948472
2023-06-26,1357.928838391015
2023-06-27,969.5768056297884
2023-06-28,642.9771741668924
2023-06-29,584.4840082621505
2023-06-30,548.6853145363527
2023-07-01,440.75433917878297
2023-07-02,265.2432423744526
2023-07-03,267.7318099112975
2023-07-04,250.32883151930622
2023-07-05,236.86904459406134
2023-07-06,225.17669456653738
2023-07-07,223.1503179217449
2023-07-08,232.41849701187428
2023-07-09,248.72588951289197
2023-07-10,162.23236359804955
2023-07-11,61.90341917852821
2023-07-12,53.119164493394
2023-07-13,52.798196992450976
